GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,PLACEA,PLACECC,PLACEDC,TRACTA,TRBL_CTA,BLCK_GRPA,TRBL_BGA,C_CITYA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSCE,TRBL_SUBA,ANRCA,MSA_CMSAA,CMSA,MACCI,PMSAA,NECMAA,NECMACCI,URB_AREAA,UATYPE,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,AREALAND,AREAWATR,NAME,FUNCSTAT,INTPTLAT,INTPLON,LSADC,MACC,UACP,GMH001,GMH002,GMH003,GMH004,GMH005,GMH006,GMH007,GMH008,GMH009,GMH010,GMH011,GMH012,GMH013,GMH014,GMH015,GMH016,GMH017,GMH018,GMH019,GMH020,GMH021,GMH022,GMH023,GMH024,GMH025,GMH026
"G3500050","2000","US","4","8","New Mexico","35","Chaves","005",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"15723458875","10899208","Chaves County","A","+33355893","-104444987","06",,,2012,1418,1622,540,1455,921,207,435,787,1467,831,640,600,263,157,604,160,1483,295,201,719,662,3424,1068,574,483
"G3500060","2000","US","4","8","New Mexico","35","Cibola","006",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"11756510105","6474885","Cibola County","A","+35049742","-107976125","06",,,364,630,382,100,469,274,56,63,137,596,488,204,626,82,88,225,35,448,115,51,140,150,1789,626,120,445
"G3500070","2000","US","4","8","New Mexico","35","Colfax","007",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"9730046562","29150621","Colfax County","A","+36567573","-104665501","06",,,421,524,296,50,301,216,59,115,167,283,385,169,295,94,24,47,46,336,64,30,182,101,934,505,168,233
"G3500090","2000","US","4","8","New Mexico","35","Curry","009",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"3641392209","4450841","Curry County","A","+34481212","-103253378","06",,,859,986,676,228,1468,1041,223,333,502,909,508,602,704,137,86,238,88,1295,230,153,490,391,2879,838,458,661
"G3500110","2000","US","4","8","New Mexico","35","De Baca","011",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"6021387600","23215618","De Baca County","A","+34365068","-104232700","06",,,148,78,9,13,58,60,5,6,17,40,21,14,28,27,4,8,6,32,18,1,12,11,168,47,17,45
"G3500130","2000","US","4","8","New Mexico","35","Dona Ana","013",,,,,"0",,,,,,,,,,,,,"4100","99","N","9999","9999","9",,,,,,,,,"9860559833","19259154","Dona Ana County","A","+32274123","-106781670","06",,,2093,4943,3286,1112,4344,2372,875,1283,2732,5475,3140,1737,3409,436,515,1430,362,3771,700,663,1793,2077,12221,2951,1721,2244
"G3500150","2000","US","4","8","New Mexico","35","Eddy","015",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"10831385925","40281198","Eddy County","A","+32527170","-104262035","06",,,2609,1310,1013,374,1280,781,191,238,920,744,661,702,664,332,103,266,141,1473,309,157,635,618,2976,958,706,430
"G3500170","2000","US","4","8","New Mexico","35","Grant","017",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"10271585524","4201280","Grant County","A","+32708567","-108246748","06",,,1429,860,175,123,585,283,160,170,296,892,361,325,318,188,153,42,55,615,237,110,280,277,2483,534,210,252
"G3500190","2000","US","4","8","New Mexico","35","Guadalupe","019",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"7848628789","3115444","Guadalupe County","A","+34862953","-104813622","06",,,64,169,10,4,77,64,10,9,41,126,129,44,81,20,7,11,0,97,18,8,16,24,236,228,13,92
"G3500210","2000","US","4","8","New Mexico","35","Harding","021",,,,,"0",,,,,,,,,,,,,"9999","99","9","9999","9999","9",,,,,,,,,"5504611815","1578018","Harding County","A","+35897974","-103878339","06",,,91,21,11,2,11,3,2,0,6,19,11,7,22,26,0,4,0,5,11,3,7,4,53,16,0,29
